Id,Last Edit / Deliberation Comment / Need to review,on/off,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Description,Status,Weight - TBD by Machine,Category number,MarkerTypeId,comment
,,,,potential negative effect,problem statement,,if in introduction,,,,,,,30,,
2086,,,,positive contribution,contribution,contribution,any,"if contains self ref, deictic work ref",,,NULL,1,,8,21,NULL
2066,,,,picture we have is far from complete,problem statement,,if in introduction,,,,NULL,1,,30,6,
2058,,,,perform poorly,problem statement,problem statement,if in introduction,,,,NULL,1,,30,6,
2045,,,,paucity of research,problem statement,,if in introduction,,,,NULL,1,,30,6,
3662,,,,paucity of data,problem statement,,if in introduction,,,,NULL,1,,30,6,
5813,,,,paucity of data,problem statement,,if in introduction,,,,#NAME?,1,,30,6,
2028,,,,partially explained by,problem statement,,if in introduction,,,,NULL,1,,30,20,NULL
2023,,,,part of the problem,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,overlooked,problem statement,if introduction,,,,,,,,30,,
,,,,overlooked,problem statement,if in introduction,,,,,,,,30,,
3201,,,,our understanding of,contribution,,,,,,* understanding of,1,,8,8,NULL
,,,,our results should be interpreted in the context of the following limitations,limitation,,if in conclusion section,,,,,,,5,,
,,,,our results should be interpreted,limitation,,if in conclusion section,,,,,,,5,,
,,,,our research highlights the importance of,contribution,,,,,,,,,8,,
7474,,,,our research complements,contribution,,,,,,our * complements,1,,8,8,NULL
,,,,Our knowledge of ... is still fragmentary.,problem statement,if in introduction,,,,,,,,30,,
,,,,Our hope is that this study will spark...,contribution,,,,,,,,,8,,
,,,,our findings provide evidence for,contribution,,if in conclusion section,,,,,,,8,,
,,,,our findings could lead to,contribution,,if in conclusion section,,,,,,,8,,
6768,,,,our awareness,contribution,,,,,,NULL,1,,8,8,NULL
,,,,our … laid the groundwork for,contribution,,,,,,,,,8,,
,,,,our ... laid the foundations for,contribution,,,,,,,,,8,,
,,,,only partially understood,problem statement,,if in introduction,,,,,,,30,,
,,,,One limitation is the potential for,limitation,,,,,,,,,5,,
,matan,,,one limitation in,limitation,,if in conclusion section,deictic ref,,,,,,5,,
,,,,One drawback in this study was,limitation,if in conclusion section,,,,,,,,5,,
1917,,,,often suffer from,problem statement,,if in introduction,,,,NULL,1,,30,6,
4640,,,,offered some suggestions for,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,offer% some suggestions *,1,,6,18,NULL
1910,,,,offer powerful insights,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
1898,,,,of ... concern,problem statement,,if in introduction,,,,NULL,1,,30,6,
1875,,,,number of challenges remain,problem statement,,if in introduction,,,,NULL,1,,30,6,
5050,,,,not yet been determined,problem statement,,if in introduction,,,,not yet been * determined,1,,30,21,NULL
6022,,,,not well understood,problem statement,,if in introduction,,,,NULL,1,,30,6,
1442,,,,not known whether,problem statement,,if in introduction,,,,NULL,0,,30,25,NULL
1835,,,,not guarantee,problem statement,,if in introduction,,,,NULL,1,,30,6,
3866,,,,not fully successful,problem statement,,if in introduction,,,,NULL,1,,30,13,
3904,,,,not feasible,problem statement,problem statement,if in introduction,,,,NULL,1,,30,13,
,,,,not enough is known about,problem statement,,if in introduction,,,,,,,30,,
,,,,not enough is known about,problem statement,,if in introduction,,,,,,,30,,
Sep13,,,,not enough is known about,problem statement,,if in introduction,,,,,,,30,,
6732,,,,not enough evidence,problem statement,,if in introduction,,,,NULL,1,,30,13,
316,,,,not enough data,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,not enough,problem statement,,if in introduction,,,,,,,30,,
1829,,,,not completely understood,problem statement,,if in introduction,,,,NULL,1,,30,6,
1821,,,,not always reliable,limitation,,if in discussion or in conclusion section,,,,NULL,1,,5,6,
,,,,not all these factors are understood,limitation,,if in discussion or in conclusion section,,,,,,,5,,
,,,,not adequately operationalized,limitation,,if in conclusion,,,,,,,5,,
Sep13,,,,not a ... solution,problem statement,,if in introduction,,,,,,,30,,
,,,,not … known,problem statement,,if in introduction,,,,,,,30,,
,,,,nonetheless,problem statement,if in introduction,,,,,,,,30,,
1812,,,,no substantial evidence,problem statement,,if in introduction,,,,no * evidence,1,,30,21,NULL
1806,,,,no research,problem statement,,if in introduction,,,,NULL,1,,30,6,
1805,,,,no previous studies,problem statement,,if in introduction,,,,NULL,1,,30,6,
1804,,,,no previous research,problem statement,,if in introduction,,,,NULL,1,,30,6,
1798,,,,no guarantee that,problem statement,problem statement,if in introduction,,,,NULL,1,,30,6,
1797,,,,no evidence that,problem statement,,if in introduction,,,,NULL,1,,30,21,NULL
3238,,,,new light,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
,,,,nevertheless,problem statement,if in introduction,,,,,,,,30,,
3853,,,,never been fully realized,problem statement,,if in introduction,,,,NULL,1,,30,13,
1785,,,,neglect to take into account,problem statement,,if in introduction,,,,neglect to take *** into account,1,,30,6,
1784,,,,neglect to consider,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,negative impact on,problem statement,,if in introduction,,,,,,,30,,
1780,,,,negative effect of,problem statement,,if in introduction,,,,NULL,1,,30,6,
7293,,,,negative effect,problem statement,,if in introduction,,,,NULL,1,,30,9,NULL
5341,,,,negative consequence for,problem statement,,if in introduction,,,,negative consequence% for,1,,30,9,NULL
,,,,needs to be used with a wide variety of,limitation,,,,,,,,,5,,
,,,,needs to be explored further,problem statement,if in introduction section,,,,,,,,30,,
,,,,needs to be explored further,recommendation,if in conclusion section,,,,,,,,31,,
,,,,needs to be examined to identify,problem statement,if in introduction section,,,,,,,,30,,
,,,,needs to be examined to identify,limitation,if in conclusion section,,,,,,,,5,,
,,,,needs to be examined to,problem statement,if in introduction section,,,,,,,,30,,
,,,,needs to be examined to,limitation,if in conclusion section,,,,,,,,5,,
6240,,,,needs of,problem statement,,if in introduction,,,,needs of **,1,,30,6,
Sep13,,,,needs more,problem statement,,if in introduction,,,,,,,30,,
Sep13,,,,needs further,problem statement,,if in introduction,,,,,,,30,,
Sep13,,,,needs a more,problem statement,,if in introduction,,,,,,,30,,
,,,,need to understand,problem statement,if early sentences of abstract,,,,,,,,30,,
,,,,need to understand,recommendation,if in conclusion section,,,,,,,,31,,
,,,,need to be improved,problem statement,problem statement,if in introduction section,,,,,,,30,,
1775,,,,need to be examined in more detail,problem statement,,if in introduction,,,,NULL,1,,30,6,
5066,,,,need to be confirmed,problem statement,,if in introduction,,,,NULL,1,,30,21,NULL
1774,,,,need to be conducted,problem statement,,if in introduction,,,,NULL,1,,30,13,
,,,,need further investigation,problem statement,if in introduction,,,,,,,,30,,
,,,,need further investigation,recommendation,if in conclusion section,,,,,,,,31,,
,,,,need further exploration,problem statement,if in introduction section,,,,,,,,30,,
,,,,need further exploration,recommendation,if in conclusion section,,,,,,,,31,,
,,,,necessary to ... understand,recommendation,if in conclusion section,,,,,,,,31,,
,,,,necessary to ... understand,problem statement,if in introduction,,,,,,,,30,,
6119,,,,necessary for understanding,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
,,,,must be exercised when generalizing the results,limitation,,,,,,,,,5,,
1745,,,,must be complemented by,recommendation,,,,,,NULL,1,,31,13,
,,,,must be addressed,limitation,,if in discussion or in conclusion section,,,,,,,5,,
1744,,,,must be addressed,problem statement,,if in introduction,,,,NULL,1,,30,13,
,,,,Much previous research has focused on ... while,problem statement,if in introduction,,,,,,,,30,,
,,,,much less is known,limitation,,if in discussion or in conclusion section,,,,,,,5,,
1733,,,,much less is known,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,More research should be done to examine,problem statement,if early sentences of abstract,,,,,,,,30,,
,,,,More research should be done to,problem statement,if in introduction section,,,,,,,,30,,
,,,,More research should be done to,recommendation,if in conclusion section,,,,,,,,31,,
,,,,model was verified,contribution,,if in conclusion section,,,,,,,8,,
,,,,mismatch between,problem statement,,if in introduction,,,,,,,30,,
,,,,minimal amount of research,problem statement,problem statement,if in introduction,,,,,,,30,,
3204,,,,might help you to,contribution,,,,,,might help * to,1,,8,8,NULL
7529,,,,merits special attention,problem statement,,if in introduction,,,,merit% special attention,1,,30,6,
,,,,merit further investigation,limitation,,if in discussion or in conclusion sections,,,,,,,5,,
1642,,,,merit further investigation,problem statement,,if in introduction,,,,merit% further *,1,,30,6,
Sep13,,,,merit attention,limitation,,if in discussion or in conclusion sections,,,,,,,5,,
6370,,,empirical,measurement bias,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,6,
Sep13,,,,may shed further light,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,,,6,,
,,,,may reflect … rather than,limitation,if in conclusion section,,,,,,,,5,,
Sep13,,,,may provide a better,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,,,6,,
3203,,,,may help you to,contribution,,,,,,may help * to,1,,8,8,NULL
,,,,may help to,contribution,,if in conclusion section,,,,,,,8,,
,,,,may have influenced our,limitation,,,,,,,,,5,,
Sep13,,,,may have contributed,contribution,,any,"if contains self ref, deictic work ref",,,,,,8,,
,,,,mask differences across,problem statement,if in introduction,,,,,,,,30,,
,,,,mask differences across,limitation,if in conclusion section,,,,,,,,5,,
1587,,,,map the territory,contribution,,if in conclusion,,,,NULL,1,,6,6,
1577,,,,major limitations of,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,13,
3829,,,,major limitation,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,13,
,,,,loss of,problem statement,,if in introduction,,,,,,,30,,
,,,,Longitudinal ... is clearly warranted,recommendation,if in conclusion section,,,,,,,,31,,
1552,,,,little research,problem statement,,if in introduction,,,,NULL,1,,30,6,
4412,,,,little progress has been made,problem statement,,if in introduction,,,,NULL,1,,30,13,
,,,,little or no consensus,problem statement,if in introduction,,,,,,,,30,,
1549,,,,little is known about,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,little is known about,problem statement,,if in introduction,,,,,,,30,,
Sep13,,,,little attention has been paid to,problem statement,problem statement,if in introduction,,,,,,,30,,
Sep13,,,,little attention has been,problem statement,problem statement,if in introduction,,,,,,,30,,
3998,,,,little agreement as to,problem statement,,if in introduction,,,,* agreement as to,1,,30,6,
1540,,,,little accumulated research,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,little … progress,problem statement,problem statement,if in introduction,,,,,,,30,,
Sep13,,,,limited-coverage,limitation,,if in discussion or in conclusion sections,,,,,,,5,,
,,,,limited understanding,problem statement,problem statement,if in introduction,,,,,,,30,,
,,,,limited the ability of the study to,limitation,if in conclusion section,,,,,,,,5,,
,,,,limited data available,problem statement,,if in introduction,,,,,,,30,,
245,,,,limited data available,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,6,
,,,,limited data,problem statement,,if in introduction,,,,,,,30,,
1532,,,,limited data,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,6,
Sep13,,,,limitations of this study,limitation,,"if appears in discussion or 
conclusion sections",,,,,,,5,,
,,,,Limitations of the present study provide avenues for further research,limitation,if in conclusion section,,,,,,,,5,,
1529,,,,limitations of our study,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,13,
3941,,,,limitations need to be,limitation,,if in discussion or in conclusion sections,,,,limitation% need% to be,1,,5,13,
3821,,,,limitations,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,13,
1530,,,,limitation of,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,13,
1528,,,,limitation needs to be  pointed out,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,13,
1527,,,,limitation needs to be,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,13,
3822,,,,limitation,limitation,,if in discussion or in conclusion sections,,,,limitation%,1,,5,13,
,,,,likely to be a major factor in,problem statement,if in introduction,,,,,,,,30,,
,,,,light of its limitations,limitation,,,,,,,,,5,,
1511,,,,less than adequate,problem statement,,if in introduction,,,,NULL,1,,30,6,
Sep13,,,,less is known about,problem statement,,if in introduction,,,,,,,30,,
6043,,,,less is known,problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,lent further impetus,contribution,,,if in conclusion,,,,,,8,,
Sep13,,,,lent further impetus,contribution,,,,,,,,,6,,
Sep13,,,,lends support to,contribution,contribution,,if in conclusion,,,,,,6,,
1494,,,,larger sample population,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,6,
,,,,largely depends on,problem statement,if in introduction,,,,,,,,30,,
,,,,lack of sufficiently … has,problem statement,,if in introduction,,,,,,,30,,
7266,,,,lack of ... has restricted,problem statement,,if in introduction,,,,lack of *** restricted,1,,30,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter
7264,,,,lack of … has prevented,problem statement,,if in introduction,,,,lack of ** prevent%,1,,30,10,expression and all words that come after the expression are red expression two fonts bigger program underlines the expression program bolds the expression  expression can start with a small or capital letter
,,,,lack of,problem statement,,if in introduction,,,,,,,30,,
Sep13,,,,labour intensive,problem statement,,if in introduction,,,,,,,30,,
,,,,labor-intensive,problem statement,,if in introduction,,,,,,,30,,
,,,,it would be helpful for future research to,recommendation,,,,,,,,,31,,
7634,how can this be attached to a article-self-ref?,off,,it would be expected that,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
,,,,it remains unclear whether,limitation,if conclusion,,,,,,,,5,,
,,,,it remains unclear whether,problem statement,if in introduction section,,,,,,,,30,,
,,,,it needs to be acknowledged that there are limitations to,limitation,if in conclusion section,,,,,,,,5,,
,,,,It may also be fruitful to explore,recommendation,,,,,,,,,31,,
,,,,It is therefore suggested that,recommendation,if in conclusion section,,,,,,,,31,,
,,,,It is proposed to maintain,recommendation,,if in conclusion section,,,,,,,31,,
,,,,It is important to understand ...limitations of the study,limitation,,,,,,,,,5,,
,,,,it is important to understand,problem statement,if in introduction,,,,,,,,30,,
,,,,it is important to understand,recommendation,if in conclusion section,,,,,,,,31,,
,,,,It is feasible that … are also contributing,limitation,if in conclusion section,,,,,,,,5,,
,,,,issues which must be addressed,limitation,,if in discussion or in conclusion section,,,,,,,5,,
1401,,,,issues which must be addressed,problem statement,,if in introduction,,,,issue% ** be addressed,1,,30,6,
,,,,Issues related to ... have become a crucial component of,problem statement,if in introduction,,,,,,,,30,,
1395,,,,issue of reliability,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,6,
,,,,issue of ... remain unanswered,limitation,,if in discussion or in conclusion section,,,,,,,5,,
1396,,,,issue of ... remain unanswered,problem statement,,if in introduction,,,,issue% of *** remain% unanswered,1,,30,6,
,,,,is fragmented,problem statement,if in introduction,,,,,,,,30,,
,,,,is essential to,problem statement,if in introduction,,,,,,,,30,,
,,,,is a useful tool to,contribution,if in conclusion section,,,,,,,,8,,
,,,,is a subject for further research,recommendation,,,,,,,,,31,,
Sep13,,,,intended as a stepping-stone,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,,,6,,
1342,,,,insufficient sample size,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,6,
,,,,insufficient research,limitation,limitation,if in discussion or in conclusion section,,,,,,,5,,
1341,,,,insufficient research,problem statement,problem statement,if in introduction,,,,NULL,1,,30,6,
,,,,insufficient evidence,limitation,limitation,if in discussion or in conclusion section,,,,,,,5,,
6731,,,,insufficient evidence,problem statement,,if in introduction,,,,NULL,1,,30,21,NULL
,,,,insufficient data,limitation,,if in discussion or in conclusion section,,,,,,,5,,
1339,,,,insufficient data,problem statement,,if in introduction,,,,NULL,1,,30,6,
3237,,,,insights,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,insight%,1,,6,8,NULL
3236,,,,insight into,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
1321,,,,ineffective,problem statement,,if in introduction,,,,NULL,1,,30,13,
,,,,indicating significant … hazard,problem statement,if in introduction,,,,,,,,30,,
,,,,indicates a gap between,problem statement,if early sentences of abstract,,,,,,,,30,,
7386,,,,increasingly widespread,problem statement,,if in introduction,,,,NULL,1,,30,6,
Sep13,,,,increasingly in need of,problem statement,,if in introduction,,,,,,,30,,
1310,,,,increasingly important to,problem statement,,if in introduction,,,,NULL,1,,30,13,
1309,,,,increasingly aware of,problem statement,,if in introduction,,,,NULL,1,,30,6,
1303,,,,increased need for,problem statement,,if in introduction,,,,NULL,1,,30,6,
6902,,,,increased awareness of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,* awareness of,1,,6,8,NULL
1294,,,,inconsistent with,problem statement,,if in introduction,,,,NULL,1,,30,6,
1291,,,,inconsistent,problem statement,,if in introduction,,,,NULL,1,,30,6,
1290,,,,inconclusive,problem statement,,if in introduction,,,,NULL,1,,30,13,
1289,,,,incomplete,problem statement,,if in introduction,,,,NULL,1,,30,13,
Sep13,,,,Incompatibility between,problem statement,,if in introduction,,,,,,,30,,
3318,,,,in the aftermath,problem statement,,if in introduction section,,,,NULL,1,,30,9,NULL
1255,,,,in order to solve this problem,problem statement,,if in introduction section,not marker of purpose-own if no self ref or deictic ref,,,NULL,1,,30,22,NULL
1254,,,,in order to solve,problem statement,,if in introduction section,not marker of purpose-own if no self ref or deictic ref,,,NULL,1,,30,22,NULL
,,,,in order to address this gap,problem statement,if in introduction,,,,,,,,30,,
,,,,in order to address this gap,recommendation,if in conclusion section,,,,,,,,31,,
1433,,,,important to understand that,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
1432,,,,important to understand,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
1161,should paper be extended to any self ref or just paper and study as prescribed?,,,hypothesis of this study,hypothesis/research question,research question,self ref,deictic work ref,,,NULL,1,,25,25,NULL
Sep13,should paper be extended to any self ref or just paper and study as prescribed?,,,hypothesis investigated in this paper,hypothesis/research question,research question,self ref,deictic work ref,,,,,,25,,
,,,,hypothesis examined,hypothesis/research question,question,if no self ref and deictic work references,,,,,,,25,,
,,,,hypotheses:,hypothesis/research question,question,if no self ref and deictic work references,,,,,,,25,,
,,,,hypotheses were investigated,hypothesis/research question,question,if no self ref and deictic work references,,,,,,,25,,
,,,,hypotheses were examined,hypothesis/research question,question,if no self ref and deictic work references,,,,,,,25,,
Sep13,matan - cleared suprfluous column G and H,,,hypotheses investigated in this paper,hypothesis/research question,research question,,,,,,,,25,,
,,,,however… remains,problem statement,,if in introduction,,,,,,,30,,
,,,,"However, there are still limitations to this questionnaire",limitation,,,,,,,,,5,,
,,,,"However, most research has … solely",problem statement,if in introduction,,,,,,,,30,,
,,,,"However, most research has … only",problem statement,if in introduction,,,,,,,,30,,
3746,,,,"however, little evidence",problem statement,,if in introduction,,,,NULL,1,,30,6,
,,,,"however, further validation is needed in order to ",limitation,,,,,,,,,5,,
,,,,"However, extraneous factors",limitation,,,,,,,,,5,,
,,,,however,problem statement,if in introduction,,,,,,,,30,,
,,,,how our results generalize to other …,limitation,,,,,,,,,5,,
,,,,highlights a potential way forward,contribution,if in conclusion section,,,,,,,,8,,
3211,,,,helps you to appreciate,contribution,,,,,,help% you to appreciate,1,,8,8,NULL
3210,,,,helps you to,contribution,,,,,,NULL,1,,8,8,NULL
3215,,,,helps you,contribution,,,,,,help% you,1,,8,8,NULL
3234,,,,helps to reveal,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,help% to reveal,1,,6,8,NULL
3233,,,,helps to highlight,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,help% to highlight,1,,6,8,NULL
,,,,helpful for future research to,recommendation,,,,,,,,,31,,
3212,,,,help you to understand,contribution,,,,,,NULL,1,,8,8,NULL
3100,,,,help you to,contribution,,,,,,help% you to,1,,8,8,NULL
3209,,,,help you,contribution,,,,,,help% you,1,,8,8,NULL
3202,,,,help us,contribution,,,,,,help% us,1,,8,8,NULL
6305,,,,help to explain,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,help% to explain,1,,6,8,NULL
1108,,,,heighten your awareness of,contribution,,,,,,heighten% * awareness of,1,,8,6,
,,,,hazardous,problem statement,if in introduction,,,,,,,,30,,
Sep13,,,,have yet to,problem statement,,if in introduction,,,,,,,30,,
5032,,,,have to be interpreted with a certain amount of caution,limitation,,if in discussion or in conclusion sections,,,,NULL,1,,5,21,NULL
5031,,,,have to be interpreted with,limitation,,if in discussion or in conclusion sections,,,,* be interpreted with,1,,5,21,NULL
,,,,have not yet been,problem statement,,if in introduction,,,,,,,30,,
,,,,have not reached consensus,problem statement,if in introduction,,,,,,,,30,,
,,,,have not reached … consensus,problem statement,if in introduction,,,,,,,,30,,
5030,,,,have not been determined,problem statement,,if in introduction,,,,NULL,1,,30,6,
7600,,,,have ... no data,problem statement,problem statement,if in introduction,,,,have found ** data,1,,30,21,NULL
,,,,has produced mixed results,problem statement,,,,,,,,,30,,
5025,,,,has not been determined,problem statement,,if in introduction,,,,NULL,1,,30,21,NULL
7261,,,,has lacked,problem statement,,if in introduction,,,,NULL,1,,30,13,
2860,,,,has its problems,problem statement,,if in introduction,,,,has *** problems,1,,30,6,
,,,,has focused on ... while overlooking,problem statement,if in introduction,,,,,,,,30,,
,,,,has developed a better understanding of,contribution,if in conclusion section,,,,,,,,8,,
Sep13,,,,has been criticized,problem statement,,if in introduction,,,,,,,30,,
,,,,has been criticised for,problem statement,if early sentences of abstract,,,,,,,,30,,
7659,,,,guide us,contribution,,,,,,NULL,1,,8,8,NULL
1079,,,,greatly reduced,problem statement,,if in introduction,,,,NULL,1,,30,9,NULL
3208,,,,gives you,contribution,,,,,,give% you,1,,8,8,NULL
,,,,Future work should also explore,recommendation,if in conclusion section,,,,,,,,31,,
,,,,Future work is also necessary to,recommendation,,,,,,,,,31,,
,,,,Future work could also explore,problem statement,if in introduction,,,,,,,,30,,
,,,,Future work,recommendation,,,,,,,,,31,,
1051,,,,future studies should control for,recommendation,,,,,,NULL,1,,31,6,
1050,,,,future studies should,recommendation,,,,,,NULL,1,,31,6,
,,,,future studies should,recommendation,,,,,,,,,31,,
,,,,Future studies might include,recommendation,if in conclusion section,,,,,,,,31,,
Sep13,,,,future studies are needed,recommendation,,,,,,,,,31,,
,,,,future researchers should examine,recommendation,,,,,,,,,31,,
,,,,Future researchers may wish to,recommendation,,,,,,,,,31,,
,,,,"future research, therefore, should be conducted",problem statement,if in introduction section,,,,,,,,30,,
,,,,"future research, therefore, should be conducted",recommendation,if conclusion,,,,,,,,31,,
,,,,future research should investigate,recommendation,,if in conclusion section,,,,,,,31,,
,,,,Future research should include,problem statement,if in introduction section,,,,,,,,30,,
,,,,Future research should include,recommendation,if in conclusion section,,,,,,,,31,,
,,,,Future research should focus on,recommendation,,,,,,,,,31,,
,,,,future research should be conducted,problem statement,if in introduction section,,,,,,,,30,,
,,,,future research should be conducted,recommendation,if conclusion,,,,,,,,31,,
,,,,Future research should attempt to establish statistically significant evidence,recommendation,if in conclusion section,,,,,,,,31,,
,,,,future research should attempt to,problem statement,if in introduction,,,,,,,,30,,
,,,,future research should attempt to,recommendation,if in conclusion section,,,,,,,,31,,
,,,,Future research should,problem statement,if in introduction,,,,,,,,30,,
,,,,Future research should,recommendation,if in conclusion section,,,,,,,,31,,
,,,,future research might use a ... to explore,recommendation,,,,,,,,,31,,
,,,,Future research might examine,recommendation,,,,,,,,,31,,
,,,,Future research might,recommendation,,,,,,,,,31,,
,,,,future research is warranted,recommendation,,if in conclusion section,,,,,,,31,,
,,,,future research could expand,recommendation,,,,,,,,,31,,
,,,,Future research could,problem statement,if in introduction,,,,,,,,30,,
,,,,Future research could,recommendation,if in conclusion section,,,,,,,,31,,
,,,,Future research,recommendation,if in conclusion section,,,,,,,,31,,
6012,,,,future research,recommendation,,,,,,NULL,1,,31,6,
,,,,future research,problem statement,if in introduction,,,,,,,,30,,
Sep13,,,,future investigations should,recommendation,,,,,,,,,31,,
,,,,further work needs to be done before,recommendation,,if in conclusion section,,,,,,,31,,
,,,,further validation is needed,limitation,,,,,,,,,5,,
,,,,further validation is however needed in order to confirm,limitation,,,,,,,,,5,,
1046,,,,further studies that investigate,recommendation,,,,,,NULL,1,,31,6,
5010,,,,further studies should control for,recommendation,,,,,,NULL,1,,31,21,NULL
6729,,,,further studies should,recommendation,,,,,,further * should,1,,31,13,
,,,,Further studies could examine the relationship among,recommendation,if in conclusion section,,,,,,,,31,,
,,,,Further studies are suggested,problem statement,if in introduction section,,,,,,,,30,,
,,,,Further studies are suggested,recommendation,if in conclusion section,,,,,,,,31,,
,,,,Further research needs to be conducted,recommendation,,if in conclusion section,,,,,,,31,,
,,,,further research is required to understand,problem statement,if in introduction,,,,,,,,30,,
,,,,further research is required to understand,recommendation,if in conclusion section,,,,,,,,31,,
,,,,Further research is needed to elucidate whether,problem statement,if in introduction,,,,,,,,30,,
,,,,Further research is needed to elucidate whether,recommendation,if in conclusion section,,,,,,,,31,,
,,,,Further research is needed to clarify whether,problem statement,if in introduction,,,,,,,,30,,
,,,,Further research is needed to clarify whether,recommendation,if in conclusion section,,,,,,,,31,,
,,,,further research is needed to address,problem statement,if early sentences of abstract,,,,,,,,30,,
,,,,further research is needed,limitation,,if in discussion or in conclusion section,,,,,,,5,,
1044,,,,further research is needed,problem statement,,if in introduction,,,,further research is *,1,,30,6,
,,,,further research,recommendation,if in conclusion section,,,,,,,,31,,
,,,,further longitudinal research is,problem statement,if in introduction,,,,,,,,30,,
,,,,further longitudinal research is,recommendation,if in conclusion section,,,,,,,,31,,
7380,,,,form a framework for,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,form% a * framework for,1,,6,8,NULL
6120,,,,for understanding,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,NULL,1,,6,8,NULL
6852,,,,for future research,recommendation,,,,,,NULL,1,,31,6,
1007,matan,,,following question,hypothesis/research question,research question,self ref,deictic work ref,,,following question%,1,,25,25,NULL
6926,,,,few studies have specifically addressed,problem statement,,if in introduction section,,,,few studies have * addressed,1,,30,7,NULL
,,,,few if any,problem statement,,if in introduction,,,,,,,30,,
,,,,few existing empirical studies have addressed,problem statement,,if in introduction,,,,,,,30,,
,,,,few existing empirical studies have,problem statement,,if in introduction,,,,,,,30,,
,,,,far less is known about,problem statement,if in introduction,,,,,,,,30,,
,,,,far less is known about,recommendation,if in conclusion section,,,,,,,,31,,
,,,,extended research is necessary,problem statement,if in introduction,,,,,,,,30,,
,,,,extended research is necessary,recommendation,if in conclusion section,,,,,,,,31,,
,,,,"explained above, this ... was not able to",limitation,,,,,,,,,5,,
7627,,,,expand awareness,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,expand ** awareness,1,,6,8,NULL
,,,,exists the possibility that the differences between the experimental and control groups,limitation,,,,,,,,,5,,
,,,,exists the possibility that the differences between ... groups,limitation,,,,,,,,,5,,
,,,,even though the sample size in this … was,limitation,,,,,,,,,5,,
3227,,,,enables you to understand,contribution,,,,,,enable% * to understand,1,,8,8,NULL
3226,,,,enables you to,contribution,,,,,,enable% * to see,1,,8,8,NULL
,,,,enables  us  to  detect,contribution,,,,,,,,,8,,
3207,,,,enabled us to,contribution,,,,,,enable% us to,1,,8,8,NULL
785,,,,enable you to,contribution,,,,,,enable% * to,1,,8,8,NULL
784,,,,enable us to,contribution,,,,,,enable% us to,1,,8,8,NULL
