Id,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Weight - TBD by Machine,Category number,Status,MarkerTypeId,comment,Description
2208,,provide a useful correction to,contribution,,if in discussion or in conclusion section,,,,,6,1,13,,NULL
2210,,provide an accurate picture,contribution,,if in discussion or in conclusion section,,,,,6,1,6,,NULL
,,provide evidence that,contribution,,if in discussion or in conclusion section,,,,,8,,,,
3902,,provide little information,problem statement,,if in introduction ,,,,,30,1,13,,provided little information
,,provide much more than,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,,,,
3242,,provide new,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,provide% new
3241,,provide new insights,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,provide * insights
,,provide strong evidence that,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,,,,
Sep13,,provide us with,contribution,,,,,,,8,,,,
Sep13,,provide us with a better understanding of the,contribution,,,,,,,8,,,,
Sep13,,provided a portrait of,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,,,,
Sep13,,provided us with,contribution,,,,,,,8,,,,
Sep13,,provides a basis,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,,,,
,,provides further support for,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,,,,
3243,,provides new,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,provide% new
,,provides strong evidence that,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,,,,
3244,,provides you with,contribution,,,,,,,8,1,8,NULL,provide% you with
,,provides support for,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,,,,
7478,,question addressed in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,critical question% * addressed in this *
7902,,question in this article,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7900,,question in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7906,,question in this report,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7904,,question in this research,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
2231,,question in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
2235,,question was investigated,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7886,,question we addressed in this,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7884,,questions addressed in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7903,,questions in this article,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7901,,questions in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7907,,questions in this report,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7905,,questions in this research,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7397,,questions in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,question% in this *
7885,,questions we addressed in this,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
2237,,questions were investigated,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
,,been disappointing,problem statement,,if in introduction ,,,,,30,,,,
7256,,reasons for studying this topic,contribution,,,,,,,8,1,8,NULL,reasons for studying * topic%
Sep13,,relative contribution,contribution,,,,,,,8,,,,
Sep13,,replicating the findings,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,,,,
7370,,represent a positive contribution towards,contribution,,,,,,,8,1,8,NULL,represent% * positive contribution% towards
,,have not yet been,problem statement,,if in introduction,,,,,30,,,,
Sep13,,requires further,problem statement,,if in introduction,,,,,30,,,,
2389,,research question,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7892,,research question examined in this,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7914,,research question in this article,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7912,,research question in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7915,,research question in this report,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7913,,research question in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7909,,research questions,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7916,,research questions in this article,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
2390,,research questions in this paper,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7910,,research questions in this report,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7899,,research questions in this study,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7891,,research questions were examined,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
,,sample was not,limitation ,,if in discussion or in conclusion section,,,,,5,,,,
,,sample was too small,limitation ,,if in discussion or in conclusion section,,,,,5,,,,
7924,,second hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7673,,set of hypotheses,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7674,,set of research questions,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7477,,sets of hypotheses,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7476,,sets of research questions,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
2510,,sharp decline,problem statement,,if in introduction,,,,,30,1,6,,NULL
2511,,sharp decrease,problem statement,,if in introduction,,,,,30,1,6,,NULL
Sep13,,sharp drop,problem statement,problem statement,if in introduction,,,,,30,,,,
2512,,sharp increase,problem statement,problem statement,if in introduction,,,,,30,1,6,,NULL
2513,,sharp rise,problem statement,,if in introduction,,,,,30,1,6,,NULL
3249,,sharpens our theoretical understanding of,contribution,,,,,,,8,1,8,NULL,sharpen% * theoretical understanding of
3248,,sharpens our understanding of,contribution,,,,,,,8,1,8,NULL,sharpen% * understanding of
2515,,shed light,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,1,8,NULL,shed% ** light
2518,,shed new light,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,1,8,NULL,shed% * light
1518,,sheds additional light,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,1,8,NULL,shed% * light
3250,,sheds light,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,1,8,NULL,shed% * * light
2516,,sheds light on,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,1,8,NULL,shed% light on
3205,,should help you to,contribution,,,,,,,8,1,8,NULL,should help * to
Sep13,,should not be ignored,problem statement,problem statement,if in introduction,,,,,30,,,,
,,little … progress,problem statement,problem statement,if in introduction,,,,,30,,,,
2570,,significant barrier,problem statement,problem statement,if in introduction,,,,,30,1,6,,NULL
Sep13,,significant challenges for,problem statement,problem statement,if in introduction,,,,,30,,,,
2571,,significant contribution,contribution,contribution,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,8,1,8,NULL,NULL
2573,,significant declines,problem statement,problem statement,if in introduction,,,,,30,1,9,NULL,significant decline%
,,size of sample population,limitation ,,if in discussion or in conclusion section,,,,,5,,,,
2635,,small size of the sample,limitation,limitation,if in discussion or in conclusion section,,,,,5,1,6,,NULL
3985,,some doubts as to whether,problem statement,problem statement,if in introduction,,,,,30,1,13,,NULL
Sep13,,some limitations are present in the current study,limitation,,"if appears in Discussion or 
conclusion sections",,,,,5,,,,
,,still far from clear,problem statement,problem statement,if in introduction ,,,,,30,,,,
2685,,still far from clear,limitation,limitation,if in discussion or in conclusion section,,,,,5,1,6,,NULL
,,still have to find a way to,problem statement,problem statement,if in introduction ,,,,,30,,,,
2686,,still have to find a way to,limitation,limitation,if in discussion or in conclusion section,,,,,5,1,6,,NULL
,,still lack,problem statement,problem statement,if in introduction ,,,,,30,,,,
2687,,still lack,limitation,limitation,if in discussion or in conclusion section,,,,,5,1,6,,NULL
,,still not completely understood,problem statement,problem statement,if in introduction ,,,,,30,,,,
2691,,still not completely understood,limitation,limitation,if in discussion or in conclusion section,,,,,5,1,6,,NULL
,,still requires additional,problem statement,problem statement,if in introduction ,,,,,30,,,,
7404,,still requires additional,limitation,limitation,if in discussion or in conclusion section,,,,,5,1,6,,still require% additional
,,still some debate,problem statement,problem statement,if in introduction ,,,,,30,,,,
6643,,still some debate,limitation,limitation,if in discussion or in conclusion section,,,,,5,1,6,,still * debate
,,suffer from a number of,problem statement,,if in introduction,,,if in last section,,30,,,,
3975,,suffer from a number of limitations,limitation,,if in discussion or in conclusion section,,,,,5,1,13,,suffer% from a number of limitation%
2752,,suggest a need for further research,problem statement,,if in introduction,,,,,30,1,6,,NULL
,,suggest a need for further research,recommendation ,,if in discussion or in conclusion section,,,,,31,,,,
2770,,susceptible to,problem statement,,if in introduction,,,,,30,1,6,,NULL
Sep13,,systematic bias,limitation,,if in discussion or in conclusion section,,,,,5,,,,
Sep13,,systematic biases,limitation,,if in discussion or in conclusion section,,,,,5,,,,
2788,,test the hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
6154,,test whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,0,25,NULL,NULL
7917,,tested the following hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7959,,the hypothesis tested,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,the * hypothesis tested
7964,,the leading questions were:,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,the * questions were:
2817,,there are as yet few,problem statement,,if in introduction,,,,,30,1,6,,there are as yet * few
,,there are some questions,problem statement,,if in introduction ,,,,,30,,,,
3660,,there are some questions,limitation,,if in discussion or in conclusion section,,,,,5,1,13,,there are * some * questions
,,there is a need for,problem statement,,if in introduction ,,,,,30,,,,
2825,,there is a need for,limitation,limitation,if in discussion or in conclusion section,,,,,5,1,6,,NULL
3996,,there is a very real danger that,problem statement,,if in introduction,,,,,30,1,13,,NULL
,,few if any,problem statement,,if in introduction,,,,,30,,,,
2831,,there is no guarantee that,problem statement,,if in introduction,,,,,30,1,6,,NULL
2832,,there is no way of knowing,problem statement,,if in introduction,,,,,30,1,6,,NULL
Sep13,,these problems are,problem statement,,if in introduction,,,,,30,,,,
Sep13,,These results challenge,problem statement,,if in introduction,,,,,30,,,,
6984,,these results validate,contribution,,,,,,,8,1,8,NULL,these * validate
7925,,third hypothesis,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
Sep13,,this problem has been,problem statement,,,deictic work ref,,,,30,,,,
Sep13,,this problem is analyzed,problem statement,,,deictic work ref,,,,30,,,,
Sep13,,this research expanded on,contribution,,,,,,,8,,,,
7362,,this study extends,contribution,,,,,,,8,1,8,NULL,NULL
2858,,this study extends the findings of,contribution,,,,,,,8,1,8,NULL,this * extend% the findings of
5762,,this study identified,contribution,,,,,,,8,1,8,NULL,this * identified
5760,,this study identifies,contribution,,,,,,,8,1,8,NULL,this * identifies
2859,,this study therefore validates,contribution,,,,,,,8,1,8,NULL,NULL
2726,,this study validates,contribution,,,,,,,8,1,8,NULL,this study validate%
4005,,time-consuming,problem statement,,if in introduction,,,,,30,1,13,,NULL
2880,,to determine whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
3254,,to provide valuable insights,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,to provide ** insights
6374,,under-represented,problem statement,problem statement,if in introduction,,,,,30,1,6,,NULL
6812,,unique contribution,contribution,,,,,,,8,1,8,NULL,NULL
5421,,valuable addition to,contribution,,,,,,,8,1,8,NULL,* addition to
6985,,valuable contribution to,contribution,,,,,,,8,1,8,NULL,NULL
274,,very few attempts to,problem statement,,if in introduction,,,,,30,1,6,,NULL
3007,,very few emipirical studies,problem statement,,if in introduction,,,,,30,1,6,,NULL
3011,,very little empirical data,problem statement,,if in introduction,,,,,30,1,6,,NULL
3015,,very little research,problem statement,,if in introduction,,,,,30,1,6,,NULL
3021,,very real danger that,problem statement,,if in introduction,,,,,30,1,13,,NULL
2659,,very valuable information,contribution,,if in discussion or in conclusion section,"if contains self ref, deictic work ref, or ""you""",,,,6,1,8,NULL,very * information
7882,,we address the question of,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7962,,we also expected that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7002,,we ask why,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7008,,we believe that this will help,contribution,,,,,,,8,1,8,NULL,we believe that this ** help
5865,,we consider how to,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,consider% how to
829,,we evaluate whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7895,,we expected that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
5990,,we explored whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
Sep13,,we extend,contribution,,,,,,,8,,,,
Sep13,,we extend the model,contribution,,,,,,,8,,,,
Sep13,,we have no way of knowing,limitation,,if in discussion or in conclusion section,,,,,5,,,,
Sep13,,we have suggested some ways in which,contribution,contribution ,if in discussion or in conclusion section,,,,,8,,,,
Sep13,,we have taken a few steps towards,contribution,contribution ,if in discussion or in conclusion section,,,,,8,,,,
1163,,we hypothesised that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7921,,we hypothesize that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7919,,we hypothesized that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7961,,we hypothesized that we would find,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
6969,,we investigated whether,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7374,,we know very little about,problem statement,,if in introduction,,,,,30,1,6,,* know very little about
7602,,we limit our discussion to,limitation,,"if appears in Discussion or 
conclusion sections",,,,,5,1,15,NULL,we limit * discussion to
3045,,we need to know,problem statement,,if in introduction,,,,,30,1,6,,NULL
7928,,we posit that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
7894,,we predicted,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
6496,,we predicted that,hypothesis/research question  ,research question,self ref,deictic work ref,,,,25,1,25,NULL,NULL
6621,,we will be able to,contribution,,,,,,,8,1,8,NULL,NULL
3256,,will enable us to,contribution,,,,,,,8,1,8,NULL,NULL
3096,,will enable you to,contribution,,,,,,,8,1,8,NULL,* enable you to
3097,,will help us to,contribution,,,,,,,8,1,8,NULL,* help us to
3099,,will help you to,contribution,,,,,,,8,1,8,NULL,* help you to
3131,,yet there is a paucity of,problem statement,,if in introduction,,,,,30,1,6,,NULL
3213,,you should be able to,contribution,,,,,,,8,1,8,NULL,NULL
3214,,you will be able to,contribution,,,,,,,8,1,8,NULL,you * be able to
5813,,paucity of data,problem statement,,if in introduction,,,,,30,1,6,,#NAME?
,,enables  us  to  detect,contribution,,,,,,,8,,,,
,,clarify the relationship between,contribution,,,,,,,8,,,,
,,This solution also deals with,contribution,,,,,,,8,,,,
,,circumvent the need ,contribution,,if in conclusion section,,,,,8,,,,
,,there is growing concern ,problem statement,,if in introduction ,,,,,30,,,,
,,It is proposed to maintain  ,recommendation ,,if in conclusion section,,,,,31,,,,
,,that may help in ,contribution,,if in conclusion section,,,,,8,,,,
,,may help to,contribution,,if in conclusion section,,,,,8,,,,
,,This paper presents new ideas ,contribution,,if in conclusion section,,,,,8,,,,
,,to better represent ,contribution,,if in conclusion section,,,,,8,,,,
,,An interesting line of future research could be ,recommendation ,,if in conclusion section,,,,,31,,,,
,,although it leads to  ... problems ,problem statement,,if in introduction section ,,,,,30,,,,
,,This is a complicated problem that ,problem statement,,if in introduction section ,,,,,30,,,,
,,we recommend that ,recommendation ,,if in conclusion section,,,,,31,,,,
,,our results should be interpreted ,limitation,,if in conclusion section,,,,,5,,,,
,,our results should be interpreted in the context of the following limitations,limitation,,if in conclusion section,,,,,5,,,,
,,future research should investigate,recommendation ,,if in conclusion section,,,,,31,,,,
,,further validation is however needed in order to confirm,limitation,,,,,,,5,,,,
,,"however, further validation is needed in order to ",limitation,,,,,,,5,,,,
,,further validation is needed ,limitation,,,,,,,5,,,,
,,overlooked,problem statement,if introduction,,,,,,30,,,,
,,undervalued,problem statement,,if introduction,,,,,30,,,,
,,mismatch between ,problem statement,,if introduction,,,,,30,,,,
,,wasted,problem statement,,if introduction,,,,,30,,,,
,,the paper highlighted,contribution,,if in conclusion section,,,,,8,,,,
,,will help guide the research,contribution,,if in conclusion section,,,,,8,,,,
,,we hope our … will ,contribution,,if in conclusion section,,,,,8,,,,
,,potential negative effect,problem statement,,if introduction,,,,,30,,,,
,,to further improve ,recommendation ,,if in conclusion section,,,,,31,,,,
,,should be carried out in order to better understand ,recommendation ,,if in conclusion section,,,,,31,,,,
,,should be conducted in order to  ,recommendation ,,if in conclusion section,,,,,31,,,,
,,one limitation in this ,limitation,,if in conclusion section,deictic ref,,,,5,,,,
,, a selection bias may have influenced the results ,limitation,,if in conclusion section,,,,,5,,,,
,,the sample was small and ,limitation,,if in conclusion section,,,,,5,,,,
,,future research is warranted ,recommendation ,,if in conclusion section,,,,,31,,,,
,,the sample was small and homogenous ,limitation,,if in conclusion section,,,,,5,,,,
,,does not give adequate information on ,limitation,,if in conclusion section,,,,,5,,,,
,,did not provide for,limitation,,if in conclusion section,,,,,5,,,,
,,did not allow for,limitation,,if in conclusion section,,,,,5,,,,
,,primary limitation of this study,limitation,,if in conclusion section,,,,,5,,,,
,,second limitation,limitation,,if in conclusion section,,,,,5,,,,
,,our findings provide evidence for ,contribution,,if in conclusion section,,,,,8,,,,
,,our findings could lead to ,contribution,,if in conclusion section,,,,,8,,,,
,,Further research needs to be conducted,recommendation ,,if in conclusion section,,,,,31,,,,
,,This study has established the importance of,contribution,,if in conclusion section,,,,,8,,,,
,,There needs to be further work before,recommendation ,,if in conclusion section,,,,,31,,,,
,,further work needs to be done before,recommendation ,,if in conclusion section,,,,,31,,,,
,,could be used effectively as a,contribution,,if in conclusion section,,,,,8,,,,
,,"Despite the importance of the findings, there were a number of limitations to the ",limitation,,if in conclusion section,,,,,5,,,,
,,contributes to the research on … by examining,contribution,,if in conclusion section,,,,,8,,,,
,,model was verified,contribution,,if in conclusion section,,,,,8,,,,
,,we recommend,recommendation ,,if in conclusion section,,,,,31,,,,
,,researchers in the future could use,recommendation ,,if in conclusion section,,,,,31,,,,
,,This study also makes contributions to our understanding of,contribution,,if in conclusion section,,,,,8,,,,
,,This study also makes contributions to ,contribution,,if in conclusion section,,,,,8,,,,
,,few existing empirical studies have,problem statement,,if in introduction,,,,,30,,,,
,,few existing empirical studies have addressed,problem statement,,if in introduction,,,,,30,,,,
,,further research is needed to address,problem statement,if early sentences of abstract,,,,,,30,,,,
,,should address,recommendation,if in conclusion section,,,,,,31,,,,
,,More research should be done to examine,problem statement,if early sentences of abstract,,,,,,30,,,,
,,should examine,recommendation,if in conclusion section,,,,,,31,,,,
,,need to understand ,problem statement,if early sentences of abstract,,,,,,30,,,,
,,need to understand ,recommendation,if in conclusion section,,,,,,31,,,,
,,require further ,problem statement,if early sentences of abstract,,,,,,30,,,,
,,require further ,recommendation,if in conclusion section,,,,,,31,,,,
,,require further investigation,problem statement,if early sentences of abstract,,,,,,30,,,,
,,require further investigation,recommendation,if in conclusion section,,,,,,31,,,,
,,complex and multi-faceted issue,problem statement,if early sentences of abstract,,,,,,30,,,,
,,One drawback in this study was,limitation,if in conclusion section,,,,,,5,,,,
,,indicates a gap between,problem statement,if early sentences of abstract,,,,,,30,,,,
,,has been criticised for,problem statement,if early sentences of abstract,,,,,,30,,,,
,,should be re-examined in light of,problem statement,if early sentences of abstract,,,,,,30,,,,
,,should be re-examined in light of,recommendation,if in conclusion section,,,,,,31,,,,
,,these findings should not be extrapolated to ,limitation,if in conclusion section,,,,,,5,,,,
,,these findings should not be … without further empirical examination.,limitation,if in conclusion section,,,,,,5,,,,
,,may reflect … rather than,limitation,if in conclusion section,,,,,,5,,,,
,,limited the ability of the study to,limitation,if in conclusion section,,,,,,5,,,,
,,More research should be done to,problem statement,if in introduction section ,,,,,,30,,,,
,,More research should be done to,recommendation,if in conclusion section,,,,,,31,,,,
,,should be explored further ,problem statement,if in introduction section ,,,,,,30,,,,
,,should be explored further ,recommendation,if in conclusion section,,,,,,31,,,,
,,Future studies might include,recommendation ,if in conclusion section,,,,,,31,,,,
,,There are ... caveats ,limitation,if in conclusion section,,,,,,5,,,,
,,Future research should include ,problem statement,if in introduction section ,,,,,,30,,,,
,,Future research should include ,recommendation,if in conclusion section,,,,,,31,,,,
,,Future research ,recommendation ,if in conclusion section,,,,,,31,,,,
,,would provide a means of validating,recommendation ,if in conclusion section,,,,,,31,,,,
,,would provide a more rigorous test of ,recommendation ,if in conclusion section,,,,,,31,,,,
,,These findings provide support for,contribution,if in conclusion section,,,,,,8,,,,
,,Limitations of the present study provide avenues for further research ,limitation,if in conclusion section,,,,,,5,,,,
,,A major limitation of the current study was the composition of the ,limitation,if in conclusion section,,,,,,5,,,,
,,A major limitation of the current study was ,limitation,if in conclusion section,,,,,,5,,,,
,,This study provides further evidence that,contribution,if in conclusion section,,,,,,8,,,,
,,It is feasible that … are also contributing,limitation,if in conclusion section,,,,,,5,,,,
,,threat to the validity of the findings ,limitation,if in conclusion section,,,,,,5,,,,
,,Longitudinal ... is clearly warranted,recommendation ,if in conclusion section,,,,,,31,,,,
,,needs to be examined to identify,problem statement,if in introduction section ,,,,,,30,,,,
,,needs to be examined to identify,limitation,if in conclusion section,,,,,,5,,,,
,,needs to be examined to ,problem statement,if in introduction section ,,,,,,30,,,,
,,needs to be examined to ,limitation,if in conclusion section,,,,,,5,,,,
,,there is currently little,problem statement,if in introduction section ,,,,,,30,,,,
,,there is currently little empirical evidence,problem statement,if in introduction section ,,,,,,30,,,,
,,We conceptualise the findings in a theoretical model,contribution,if in conclusion section,,,,,,8,,,,
,,has developed a better understanding of,contribution,if in conclusion section,,,,,,8,,,,
,,Issues related to ... have become a crucial component of,problem statement,if in introduction,,,,,,30,,,,
,,which remains underrecognised,problem statement,if in introduction,,,,,,30,,,,
,,Further research is needed to elucidate whether,problem statement,if in introduction,,,,,,30,,,,
,,Further research is needed to elucidate whether,recommendation,if in conclusion section,,,,,,31,,,,
,,Further research is needed to clarify whether,problem statement,if in introduction,,,,,,30,,,,
,,Further research is needed to clarify whether,recommendation,if in conclusion section,,,,,,31,,,,
,,there is little research available ,problem statement,if in introduction,,,,,,30,,,,
,,there is little ... literature available ,problem statement,if in introduction,,,,,,30,,,,
,,highlights a potential way forward,contribution,if in conclusion section,,,,,,8,,,,
,,research is needed ,problem statement,if in introduction,,,,,,30,,,,
,,research is needed ,recommendation,if in conclusion section,,,,,,31,,,,
,,in order to address this gap,problem statement,if in introduction,,,,,,30,,,,
,,in order to address this gap,recommendation,if in conclusion section,,,,,,31,,,,
,,need further investigation,problem statement,if in introduction,,,,,,30,,,,
,,need further investigation,recommendation,if in conclusion section,,,,,,31,,,,
,,research needs to establish,problem statement,if in introduction,,,,,,30,,,,
,,research needs to establish,recommendation,if in conclusion section,,,,,,31,,,,
,,further research is required to understand,problem statement,if in introduction,,,,,,30,,,,
,,further research is required to understand,recommendation,if in conclusion section,,,,,,31,,,,
,,is a useful tool to,contribution,if in conclusion section,,,,,,8,,,,
,,have not reached consensus,problem statement,if in introduction,,,,,,30,,,,
,,have not reached … consensus,problem statement,if in introduction,,,,,,30,,,,
,,provides several insights,contribution,if in conclusion section,,,,,,8,,,,
,,study also contributes to a better understanding of,contribution,if in conclusion section,,,,,,8,,,,
,,Further studies are suggested,problem statement,if in introduction section ,,,,,,30,,,,
,,Further studies are suggested,recommendation,if in conclusion section,,,,,,31,,,,
,,are a precious resource and it important that,problem statement,if in introduction,,,,,,30,,,,
,,Much previous research has focused on ... while ,problem statement,if in introduction,,,,,,30,,,,
,,has focused on ... while overlooking ,problem statement,if in introduction,,,,,,30,,,,
,,mask differences across,problem statement,if in introduction,,,,,,30,,,,
,,mask differences across,limitation,if in conclusion section,,,,,,5,,,,
,,further longitudinal research is,problem statement,if in introduction,,,,,,30,,,,
,,further longitudinal research is,recommendation,if in conclusion section,,,,,,31,,,,
,,Such research would provide further,problem statement,if in introduction,,,,,,30,,,,
,,Such research would provide further,recommendation,if in conclusion section,,,,,,31,,,,
,,Further studies could examine the relationship among,recommendation,if in conclusion section,,,,,,31,,,,
,,need further exploration ,problem statement,if in introduction section ,,,,,,30,,,,
,,need further exploration ,recommendation,if in conclusion section,,,,,,31,,,,
,,it needs to be acknowledged that there are limitations to,limitation,if in conclusion section,,,,,,5,,,,
,,There is no consensus regarding,problem statement,if in introduction,,,,,,30,,,,
,,little or no consensus,problem statement,if in introduction,,,,,,30,,,,
,,appear to be inconsistent with,problem statement,if in introduction,,,,,,30,,,,
,,Future research should attempt to establish statistically significant evidence,recommendation,if in conclusion section,,,,,,31,,,,
,,are much higher … than,problem statement,if in introduction,,,,,,30,,,,
,,indicating significant … hazard,problem statement,if in introduction,,,,,,30,,,,
,,constitute a potential … hazard to,problem statement,if in introduction,,,,,,30,,,,
,,results of the current study highlight,contribution,if in conclusion section,,,,,,8,,,,
,,presents a serious problem,problem statement,if in introduction,,,,,,30,,,,
,,"However, most research has … only",problem statement,if in introduction,,,,,,30,,,,
,,"However, most research has … solely",problem statement,if in introduction,,,,,,30,,,,
,,Our knowledge of ... is still fragmentary.,problem statement,if in introduction,,,,,,30,,,,
,,is fragmented,problem statement,if in introduction,,,,,,30,,,,
,,threaten,problem statement,if in introduction,,,,,,30,,,,
,,however,problem statement,if in introduction,,,,,,30,,,,
,,yet,problem statement,if in introduction,,,,,,30,,,,
,,although,problem statement,if in introduction,,,,,,30,,,,
,,nonetheless,problem statement,if in introduction,,,,,,30,,,,
,,nevertheless,problem statement,if in introduction,,,,,,30,,,,
,,is essential to,problem statement,if in introduction,,,,,,30,,,,
,,It is therefore suggested that,recommendation,if in conclusion section,,,,,,31,,,,
,,it is important to understand,problem statement,if in introduction,,,,,,30,,,,
,,it is important to understand,recommendation,if in conclusion section,,,,,,31,,,,
,,danger of,problem statement,if in introduction,,,,,,30,,,,
,,future research,problem statement,if in introduction,,,,,,30,,,,
,,further research ,recommendation,if in conclusion section,,,,,,31,,,,
,,hazardous,problem statement,if in introduction,,,,,,30,,,,
